StateCode,DistrictCode,Area Name,Age,OutOfSchoolChildren
00,000,INDIA,5,19204452
00,000,INDIA,6,13715028
00,000,INDIA,7,5150200
00,000,INDIA,8,3617368
00,000,INDIA,9,2445758
00,000,INDIA,10,3714068
00,000,INDIA,11,2575678
00,000,INDIA,12,3602414
00,000,INDIA,13,3285820
00,000,INDIA,14,4594040
00,000,INDIA,15,6638313
00,000,INDIA,16,7846479
00,000,INDIA,17,8003459
00,000,INDIA,18,14407715
00,000,INDIA,19,11548722
35,000,State-ANDAMAN & NICOBAR ISLANDS,5,3477
35,000,State-ANDAMAN & NICOBAR ISLANDS,6,2303
35,000,State-ANDAMAN & NICOBAR ISLANDS,7,550
35,000,State-ANDAMAN & NICOBAR ISLANDS,8,203
35,000,State-ANDAMAN & NICOBAR ISLANDS,9,245
35,000,State-ANDAMAN & NICOBAR ISLANDS,10,282
35,000,State-ANDAMAN & NICOBAR ISLANDS,11,271
35,000,State-ANDAMAN & NICOBAR ISLANDS,12,274
35,000,State-ANDAMAN & NICOBAR ISLANDS,13,299
35,000,State-ANDAMAN & NICOBAR ISLANDS,14,459
35,000,State-ANDAMAN & NICOBAR ISLANDS,15,742
35,000,State-ANDAMAN & NICOBAR ISLANDS,16,966
35,000,State-ANDAMAN & NICOBAR ISLANDS,17,1531
35,000,State-ANDAMAN & NICOBAR ISLANDS,18,2773
35,000,State-ANDAMAN & NICOBAR ISLANDS,19,3350
28,000,State-ANDHRA PRADESH,5,864016
28,000,State-ANDHRA PRADESH,6,562848
28,000,State-ANDHRA PRADESH,7,219473
28,000,State-ANDHRA PRADESH,8,125107
28,000,State-ANDHRA PRADESH,9,101485
28,000,State-ANDHRA PRADESH,10,139246
28,000,State-ANDHRA PRADESH,11,116143
28,000,State-ANDHRA PRADESH,12,167767
28,000,State-ANDHRA PRADESH,13,176034
28,000,State-ANDHRA PRADESH,14,244710
28,000,State-ANDHRA PRADESH,15,377665
28,000,State-ANDHRA PRADESH,16,452725
28,000,State-ANDHRA PRADESH,17,499780
28,000,State-ANDHRA PRADESH,18,911502
28,000,State-ANDHRA PRADESH,19,790724
12,000,State-ARUNACHAL PRADESH,5,23287
12,000,State-ARUNACHAL PRADESH,6,18380
12,000,State-ARUNACHAL PRADESH,7,10658
12,000,State-ARUNACHAL PRADESH,8,8622
12,000,State-ARUNACHAL PRADESH,9,6092
12,000,State-ARUNACHAL PRADESH,10,7394
12,000,State-ARUNACHAL PRADESH,11,5235
12,000,State-ARUNACHAL PRADESH,12,5621
12,000,State-ARUNACHAL PRADESH,13,4448
12,000,State-ARUNACHAL PRADESH,14,5024
12,000,State-ARUNACHAL PRADESH,15,6447
12,000,State-ARUNACHAL PRADESH,16,6403
12,000,State-ARUNACHAL PRADESH,17,6527
12,000,State-ARUNACHAL PRADESH,18,11102
12,000,State-ARUNACHAL PRADESH,19,9840
18,000,State-ASSAM,5,540894
18,000,State-ASSAM,6,390028
18,000,State-ASSAM,7,189100
18,000,State-ASSAM,8,132805
18,000,State-ASSAM,9,97605
18,000,State-ASSAM,10,123832
18,000,State-ASSAM,11,95675
18,000,State-ASSAM,12,133205
18,000,State-ASSAM,13,127474
18,000,State-ASSAM,14,160200
18,000,State-ASSAM,15,214949
18,000,State-ASSAM,16,242469
18,000,State-ASSAM,17,239673
18,000,State-ASSAM,18,408566
18,000,State-ASSAM,19,347998
10,000,State-BIHAR,5,2500934
10,000,State-BIHAR,6,2117394
10,000,State-BIHAR,7,918815
10,000,State-BIHAR,8,799602
10,000,State-BIHAR,9,484898
10,000,State-BIHAR,10,766405
10,000,State-BIHAR,11,427071
10,000,State-BIHAR,12,602995
10,000,State-BIHAR,13,412826
10,000,State-BIHAR,14,540232
10,000,State-BIHAR,15,729947
10,000,State-BIHAR,16,747014
10,000,State-BIHAR,17,577514
10,000,State-BIHAR,18,1253114
10,000,State-BIHAR,19,821894
04,000,State-CHANDIGARH,5,9721
04,000,State-CHANDIGARH,6,6821
04,000,State-CHANDIGARH,7,2057
04,000,State-CHANDIGARH,8,1082
04,000,State-CHANDIGARH,9,1210
04,000,State-CHANDIGARH,10,1490
04,000,State-CHANDIGARH,11,1053
04,000,State-CHANDIGARH,12,1277
04,000,State-CHANDIGARH,13,1309
04,000,State-CHANDIGARH,14,1778
04,000,State-CHANDIGARH,15,2899
04,000,State-CHANDIGARH,16,3596
04,000,State-CHANDIGARH,17,4487
04,000,State-CHANDIGARH,18,8633
04,000,State-CHANDIGARH,19,7974
22,000,State-CHHATTISGARH,5,407409
22,000,State-CHHATTISGARH,6,277452
22,000,State-CHHATTISGARH,7,98254
22,000,State-CHHATTISGARH,8,55080
22,000,State-CHHATTISGARH,9,35463
22,000,State-CHHATTISGARH,10,54256
22,000,State-CHHATTISGARH,11,37837
22,000,State-CHHATTISGARH,12,60073
22,000,State-CHHATTISGARH,13,58182
22,000,State-CHHATTISGARH,14,85774
22,000,State-CHHATTISGARH,15,137852
22,000,State-CHHATTISGARH,16,177912
22,000,State-CHHATTISGARH,17,196920
22,000,State-CHHATTISGARH,18,340393
22,000,State-CHHATTISGARH,19,286737
26,000,State-DADRA & NAGAR HAVELI,5,5460
26,000,State-DADRA & NAGAR HAVELI,6,3183
26,000,State-DADRA & NAGAR HAVELI,7,967
26,000,State-DADRA & NAGAR HAVELI,8,524
26,000,State-DADRA & NAGAR HAVELI,9,400
26,000,State-DADRA & NAGAR HAVELI,10,575
26,000,State-DADRA & NAGAR HAVELI,11,505
26,000,State-DADRA & NAGAR HAVELI,12,650
26,000,State-DADRA & NAGAR HAVELI,13,778
26,000,State-DADRA & NAGAR HAVELI,14,1092
26,000,State-DADRA & NAGAR HAVELI,15,1566
26,000,State-DADRA & NAGAR HAVELI,16,2099
26,000,State-DADRA & NAGAR HAVELI,17,2657
26,000,State-DADRA & NAGAR HAVELI,18,5121
26,000,State-DADRA & NAGAR HAVELI,19,5234
25,000,State-DAMAN & DIU,5,2676
25,000,State-DAMAN & DIU,6,1790
25,000,State-DAMAN & DIU,7,495
25,000,State-DAMAN & DIU,8,302
25,000,State-DAMAN & DIU,9,185
25,000,State-DAMAN & DIU,10,290
25,000,State-DAMAN & DIU,11,221
25,000,State-DAMAN & DIU,12,298
25,000,State-DAMAN & DIU,13,311
25,000,State-DAMAN & DIU,14,521
25,000,State-DAMAN & DIU,15,1005
25,000,State-DAMAN & DIU,16,1548
25,000,State-DAMAN & DIU,17,2570
25,000,State-DAMAN & DIU,18,5778
25,000,State-DAMAN & DIU,19,5408
07,000,State-NCT OF DELHI,5,213924
07,000,State-NCT OF DELHI,6,152973
07,000,State-NCT OF DELHI,7,43917
07,000,State-NCT OF DELHI,8,23143
07,000,State-NCT OF DELHI,9,18684
07,000,State-NCT OF DELHI,10,26869
07,000,State-NCT OF DELHI,11,18683
07,000,State-NCT OF DELHI,12,23009
07,000,State-NCT OF DELHI,13,22166
07,000,State-NCT OF DELHI,14,30890
07,000,State-NCT OF DELHI,15,45913
07,000,State-NCT OF DELHI,16,58187
07,000,State-NCT OF DELHI,17,70061
07,000,State-NCT OF DELHI,18,135917
07,000,State-NCT OF DELHI,19,114906
30,000,State-GOA,5,13640
30,000,State-GOA,6,9668
30,000,State-GOA,7,2738
30,000,State-GOA,8,1234
30,000,State-GOA,9,1054
30,000,State-GOA,10,1330
30,000,State-GOA,11,1182
30,000,State-GOA,12,1233
30,000,State-GOA,13,1328
30,000,State-GOA,14,1591
30,000,State-GOA,15,2207
30,000,State-GOA,16,2808
30,000,State-GOA,17,4114
30,000,State-GOA,18,7600
30,000,State-GOA,19,9710
24,000,State-GUJARAT,5,868037
24,000,State-GUJARAT,6,522139
24,000,State-GUJARAT,7,185113
24,000,State-GUJARAT,8,112504
24,000,State-GUJARAT,9,90519
24,000,State-GUJARAT,10,127737
24,000,State-GUJARAT,11,127348
24,000,State-GUJARAT,12,172537
24,000,State-GUJARAT,13,197496
24,000,State-GUJARAT,14,276793
24,000,State-GUJARAT,15,408591
24,000,State-GUJARAT,16,469482
24,000,State-GUJARAT,17,531792
24,000,State-GUJARAT,18,773755
24,000,State-GUJARAT,19,683934
06,000,State-HARYANA,5,349804
06,000,State-HARYANA,6,245247
06,000,State-HARYANA,7,78001
06,000,State-HARYANA,8,47899
06,000,State-HARYANA,9,33640
06,000,State-HARYANA,10,49067
06,000,State-HARYANA,11,33828
06,000,State-HARYANA,12,44934
06,000,State-HARYANA,13,43383
06,000,State-HARYANA,14,60620
06,000,State-HARYANA,15,87810
06,000,State-HARYANA,16,113737
06,000,State-HARYANA,17,128654
06,000,State-HARYANA,18,242286
06,000,State-HARYANA,19,213512
02,000,State-HIMACHAL PRADESH,5,79725
02,000,State-HIMACHAL PRADESH,6,48881
02,000,State-HIMACHAL PRADESH,7,11588
02,000,State-HIMACHAL PRADESH,8,4317
02,000,State-HIMACHAL PRADESH,9,4181
02,000,State-HIMACHAL PRADESH,10,6069
02,000,State-HIMACHAL PRADESH,11,4625
02,000,State-HIMACHAL PRADESH,12,4674
02,000,State-HIMACHAL PRADESH,13,5220
02,000,State-HIMACHAL PRADESH,14,7158
02,000,State-HIMACHAL PRADESH,15,10907
02,000,State-HIMACHAL PRADESH,16,14922
02,000,State-HIMACHAL PRADESH,17,22081
02,000,State-HIMACHAL PRADESH,18,40910
02,000,State-HIMACHAL PRADESH,19,48800
01,000,State-JAMMU & KASHMIR,5,217612
01,000,State-JAMMU & KASHMIR,6,163133
01,000,State-JAMMU & KASHMIR,7,67093
01,000,State-JAMMU & KASHMIR,8,44019
01,000,State-JAMMU & KASHMIR,9,29246
01,000,State-JAMMU & KASHMIR,10,44574
01,000,State-JAMMU & KASHMIR,11,30894
01,000,State-JAMMU & KASHMIR,12,33081
01,000,State-JAMMU & KASHMIR,13,29263
01,000,State-JAMMU & KASHMIR,14,34988
01,000,State-JAMMU & KASHMIR,15,49327
01,000,State-JAMMU & KASHMIR,16,57436
01,000,State-JAMMU & KASHMIR,17,57300
01,000,State-JAMMU & KASHMIR,18,101996
01,000,State-JAMMU & KASHMIR,19,81045
20,000,State-JHARKHAND,5,681796
20,000,State-JHARKHAND,6,523714
20,000,State-JHARKHAND,7,191779
20,000,State-JHARKHAND,8,139668
20,000,State-JHARKHAND,9,80364
20,000,State-JHARKHAND,10,121155
20,000,State-JHARKHAND,11,70633
20,000,State-JHARKHAND,12,116804
20,000,State-JHARKHAND,13,91776
20,000,State-JHARKHAND,14,127934
20,000,State-JHARKHAND,15,191022
20,000,State-JHARKHAND,16,209024
20,000,State-JHARKHAND,17,187114
20,000,State-JHARKHAND,18,401131
20,000,State-JHARKHAND,19,276270
29,000,State-KARNATAKA,5,850670
29,000,State-KARNATAKA,6,556368
29,000,State-KARNATAKA,7,155873
29,000,State-KARNATAKA,8,74988
29,000,State-KARNATAKA,9,62615
29,000,State-KARNATAKA,10,92127
29,000,State-KARNATAKA,11,76456
29,000,State-KARNATAKA,12,110937
29,000,State-KARNATAKA,13,114782
29,000,State-KARNATAKA,14,176404
29,000,State-KARNATAKA,15,259971
29,000,State-KARNATAKA,16,364568
29,000,State-KARNATAKA,17,414041
29,000,State-KARNATAKA,18,757249
29,000,State-KARNATAKA,19,660835
32,000,State-KERALA,5,315232
32,000,State-KERALA,6,196336
32,000,State-KERALA,7,33467
32,000,State-KERALA,8,12663
32,000,State-KERALA,9,11646
32,000,State-KERALA,10,16350
32,000,State-KERALA,11,13560
32,000,State-KERALA,12,13357
32,000,State-KERALA,13,14761
32,000,State-KERALA,14,16306
32,000,State-KERALA,15,24381
32,000,State-KERALA,16,37812
32,000,State-KERALA,17,70953
32,000,State-KERALA,18,133932
32,000,State-KERALA,19,180136
31,000,State-LAKSHADWEEP,5,563
31,000,State-LAKSHADWEEP,6,262
31,000,State-LAKSHADWEEP,7,76
31,000,State-LAKSHADWEEP,8,17
31,000,State-LAKSHADWEEP,9,37
31,000,State-LAKSHADWEEP,10,59
31,000,State-LAKSHADWEEP,11,45
31,000,State-LAKSHADWEEP,12,25
31,000,State-LAKSHADWEEP,13,32
31,000,State-LAKSHADWEEP,14,40
31,000,State-LAKSHADWEEP,15,52
31,000,State-LAKSHADWEEP,16,114
31,000,State-LAKSHADWEEP,17,155
31,000,State-LAKSHADWEEP,18,370
31,000,State-LAKSHADWEEP,19,542
23,000,State-MADHYA PRADESH,5,1269357
23,000,State-MADHYA PRADESH,6,896767
23,000,State-MADHYA PRADESH,7,293546
23,000,State-MADHYA PRADESH,8,186836
23,000,State-MADHYA PRADESH,9,119200
23,000,State-MADHYA PRADESH,10,190390
23,000,State-MADHYA PRADESH,11,128516
23,000,State-MADHYA PRADESH,12,197513
23,000,State-MADHYA PRADESH,13,183349
23,000,State-MADHYA PRADESH,14,280693
23,000,State-MADHYA PRADESH,15,437372
23,000,State-MADHYA PRADESH,16,545807
23,000,State-MADHYA PRADESH,17,545190
23,000,State-MADHYA PRADESH,18,1001646
23,000,State-MADHYA PRADESH,19,758591
27,000,State-MAHARASHTRA,5,1418592
27,000,State-MAHARASHTRA,6,929749
27,000,State-MAHARASHTRA,7,282628
27,000,State-MAHARASHTRA,8,133763
27,000,State-MAHARASHTRA,9,110323
27,000,State-MAHARASHTRA,10,160733
27,000,State-MAHARASHTRA,11,137026
27,000,State-MAHARASHTRA,12,166111
27,000,State-MAHARASHTRA,13,169697
27,000,State-MAHARASHTRA,14,237967
27,000,State-MAHARASHTRA,15,365600
27,000,State-MAHARASHTRA,16,481445
27,000,State-MAHARASHTRA,17,589323
27,000,State-MAHARASHTRA,18,1029881
27,000,State-MAHARASHTRA,19,1008391
14,000,State-MANIPUR,5,33035
14,000,State-MANIPUR,6,24891
14,000,State-MANIPUR,7,12237
14,000,State-MANIPUR,8,8490
14,000,State-MANIPUR,9,6429
14,000,State-MANIPUR,10,7996
14,000,State-MANIPUR,11,5990
14,000,State-MANIPUR,12,6648
14,000,State-MANIPUR,13,6142
14,000,State-MANIPUR,14,7482
14,000,State-MANIPUR,15,10073
14,000,State-MANIPUR,16,11071
14,000,State-MANIPUR,17,13059
14,000,State-MANIPUR,18,21638
14,000,State-MANIPUR,19,19658
17,000,State-MEGHALAYA,5,50145
17,000,State-MEGHALAYA,6,41161
17,000,State-MEGHALAYA,7,24551
17,000,State-MEGHALAYA,8,16961
17,000,State-MEGHALAYA,9,13566
17,000,State-MEGHALAYA,10,14612
17,000,State-MEGHALAYA,11,11129
17,000,State-MEGHALAYA,12,10990
17,000,State-MEGHALAYA,13,10800
17,000,State-MEGHALAYA,14,13174
17,000,State-MEGHALAYA,15,16447
17,000,State-MEGHALAYA,16,18746
17,000,State-MEGHALAYA,17,20528
17,000,State-MEGHALAYA,18,27755
17,000,State-MEGHALAYA,19,27139
15,000,State-MIZORAM,5,14048
15,000,State-MIZORAM,6,9443
15,000,State-MIZORAM,7,3239
15,000,State-MIZORAM,8,1998
15,000,State-MIZORAM,9,1545
15,000,State-MIZORAM,10,1903
15,000,State-MIZORAM,11,1521
15,000,State-MIZORAM,12,1557
15,000,State-MIZORAM,13,1680
15,000,State-MIZORAM,14,2367
15,000,State-MIZORAM,15,3744
15,000,State-MIZORAM,16,5235
15,000,State-MIZORAM,17,6972
15,000,State-MIZORAM,18,9665
15,000,State-MIZORAM,19,10496
13,000,State-NAGALAND,5,23589
13,000,State-NAGALAND,6,19164
13,000,State-NAGALAND,7,10255
13,000,State-NAGALAND,8,7296
13,000,State-NAGALAND,9,6893
13,000,State-NAGALAND,10,8035
13,000,State-NAGALAND,11,6416
13,000,State-NAGALAND,12,6929
13,000,State-NAGALAND,13,6656
13,000,State-NAGALAND,14,7920
13,000,State-NAGALAND,15,11205
13,000,State-NAGALAND,16,12641
13,000,State-NAGALAND,17,13610
13,000,State-NAGALAND,18,20088
13,000,State-NAGALAND,19,17889
21,000,State-ODISHA,5,602943
21,000,State-ODISHA,6,361887
21,000,State-ODISHA,7,142293
21,000,State-ODISHA,8,93875
21,000,State-ODISHA,9,67442
21,000,State-ODISHA,10,106139
21,000,State-ODISHA,11,85512
21,000,State-ODISHA,12,136765
21,000,State-ODISHA,13,140756
21,000,State-ODISHA,14,202014
21,000,State-ODISHA,15,324701
21,000,State-ODISHA,16,379814
21,000,State-ODISHA,17,399000
21,000,State-ODISHA,18,632673
21,000,State-ODISHA,19,489516
34,000,State-PUDUCHERRY,5,8158
34,000,State-PUDUCHERRY,6,5036
34,000,State-PUDUCHERRY,7,1233
34,000,State-PUDUCHERRY,8,597
34,000,State-PUDUCHERRY,9,541
34,000,State-PUDUCHERRY,10,758
34,000,State-PUDUCHERRY,11,625
34,000,State-PUDUCHERRY,12,654
34,000,State-PUDUCHERRY,13,678
34,000,State-PUDUCHERRY,14,943
34,000,State-PUDUCHERRY,15,1603
34,000,State-PUDUCHERRY,16,2442
34,000,State-PUDUCHERRY,17,3896
34,000,State-PUDUCHERRY,18,6772
34,000,State-PUDUCHERRY,19,8227
03,000,State-PUNJAB,5,290360
03,000,State-PUNJAB,6,213266
03,000,State-PUNJAB,7,74273
03,000,State-PUNJAB,8,43953
03,000,State-PUNJAB,9,33579
03,000,State-PUNJAB,10,47974
03,000,State-PUNJAB,11,39480
03,000,State-PUNJAB,12,54098
03,000,State-PUNJAB,13,59464
03,000,State-PUNJAB,14,83163
03,000,State-PUNJAB,15,124891
03,000,State-PUNJAB,16,156963
03,000,State-PUNJAB,17,183102
03,000,State-PUNJAB,18,300593
03,000,State-PUNJAB,19,279940
08,000,State-RAJASTHAN,5,1331699
08,000,State-RAJASTHAN,6,1003702
08,000,State-RAJASTHAN,7,342829
08,000,State-RAJASTHAN,8,256090
08,000,State-RAJASTHAN,9,155262
08,000,State-RAJASTHAN,10,265529
08,000,State-RAJASTHAN,11,176094
08,000,State-RAJASTHAN,12,285557
08,000,State-RAJASTHAN,13,268351
08,000,State-RAJASTHAN,14,357984
08,000,State-RAJASTHAN,15,501141
08,000,State-RAJASTHAN,16,578335
08,000,State-RAJASTHAN,17,514516
08,000,State-RAJASTHAN,18,997377
08,000,State-RAJASTHAN,19,670749
11,000,State-SIKKIM,5,4381
11,000,State-SIKKIM,6,3253
11,000,State-SIKKIM,7,1060
11,000,State-SIKKIM,8,493
11,000,State-SIKKIM,9,731
11,000,State-SIKKIM,10,807
11,000,State-SIKKIM,11,653
11,000,State-SIKKIM,12,716
11,000,State-SIKKIM,13,984
11,000,State-SIKKIM,14,1455
11,000,State-SIKKIM,15,2129
11,000,State-SIKKIM,16,2904
11,000,State-SIKKIM,17,3751
11,000,State-SIKKIM,18,5564
11,000,State-SIKKIM,19,5876
33,000,State-TAMIL NADU,5,528345
33,000,State-TAMIL NADU,6,295621
33,000,State-TAMIL NADU,7,84263
33,000,State-TAMIL NADU,8,45725
33,000,State-TAMIL NADU,9,40690
33,000,State-TAMIL NADU,10,56410
33,000,State-TAMIL NADU,11,51941
33,000,State-TAMIL NADU,12,62648
33,000,State-TAMIL NADU,13,75795
33,000,State-TAMIL NADU,14,107768
33,000,State-TAMIL NADU,15,188270
33,000,State-TAMIL NADU,16,246822
33,000,State-TAMIL NADU,17,371004
33,000,State-TAMIL NADU,18,573252
33,000,State-TAMIL NADU,19,646263
16,000,State-TRIPURA,5,49944
16,000,State-TRIPURA,6,32044
16,000,State-TRIPURA,7,8808
16,000,State-TRIPURA,8,4559
16,000,State-TRIPURA,9,3591
16,000,State-TRIPURA,10,4863
16,000,State-TRIPURA,11,3944
16,000,State-TRIPURA,12,5219
16,000,State-TRIPURA,13,5385
16,000,State-TRIPURA,14,7923
16,000,State-TRIPURA,15,12798
16,000,State-TRIPURA,16,17396
16,000,State-TRIPURA,17,23183
16,000,State-TRIPURA,18,38777
16,000,State-TRIPURA,19,39672
05,000,State-UTTARAKHAND,5,147674
05,000,State-UTTARAKHAND,6,105770
05,000,State-UTTARAKHAND,7,31517
05,000,State-UTTARAKHAND,8,16889
05,000,State-UTTARAKHAND,9,13565
05,000,State-UTTARAKHAND,10,21574
05,000,State-UTTARAKHAND,11,14126
05,000,State-UTTARAKHAND,12,16844
05,000,State-UTTARAKHAND,13,17322
05,000,State-UTTARAKHAND,14,26287
05,000,State-UTTARAKHAND,15,38493
05,000,State-UTTARAKHAND,16,49056
05,000,State-UTTARAKHAND,17,54090
05,000,State-UTTARAKHAND,18,98513
05,000,State-UTTARAKHAND,19,85447
09,000,State-UTTAR PRADESH,5,4207107
09,000,State-UTTAR PRADESH,6,3090485
09,000,State-UTTAR PRADESH,7,1312538
09,000,State-UTTAR PRADESH,8,1021312
09,000,State-UTTAR PRADESH,9,670044
09,000,State-UTTAR PRADESH,10,1040717
09,000,State-UTTAR PRADESH,11,681768
09,000,State-UTTAR PRADESH,12,905226
09,000,State-UTTAR PRADESH,13,773707
09,000,State-UTTAR PRADESH,14,1109821
09,000,State-UTTAR PRADESH,15,1513910
09,000,State-UTTAR PRADESH,16,1712788
09,000,State-UTTAR PRADESH,17,1518181
09,000,State-UTTAR PRADESH,18,2833723
09,000,State-UTTAR PRADESH,19,1849314
19,000,State-WEST BENGAL,5,1276198
19,000,State-WEST BENGAL,6,883869
19,000,State-WEST BENGAL,7,314916
19,000,State-WEST BENGAL,8,194752
19,000,State-WEST BENGAL,9,142788
19,000,State-WEST BENGAL,10,206521
19,000,State-WEST BENGAL,11,169672
19,000,State-WEST BENGAL,12,252188
19,000,State-WEST BENGAL,13,263186
19,000,State-WEST BENGAL,14,374565
19,000,State-WEST BENGAL,15,532683
19,000,State-WEST BENGAL,16,662192
19,000,State-WEST BENGAL,17,726130
19,000,State-WEST BENGAL,18,1267670
19,000,State-WEST BENGAL,19,1082705